,createdate,username,followers,text
0,2023-06-27 22:01:35+00:00,DonnaCr73299646,3003,"Bet I wld like it. Sounds interesting. 🤔

IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
1,2023-06-27 21:45:14+00:00,steviep71,127,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
2,2023-06-27 20:53:33+00:00,IzziCrowther,20,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
3,2023-06-27 20:00:23+00:00,LBrusaferro,177,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
4,2023-06-27 19:51:00+00:00,JakiBreezybrook,68,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
5,2023-06-27 19:17:40+00:00,andycarter,339,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
6,2023-06-27 19:09:47+00:00,LadyAngelaT,2085,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
7,2023-06-27 18:34:54+00:00,Linneeyy,2597,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
8,2023-06-27 16:44:42+00:00,Rich_Load,148,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
9,2023-06-27 14:11:42+00:00,isobel_goudie,974,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
10,2023-06-27 08:11:21+00:00,victori48787731,2,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
11,2023-06-26 22:22:49+00:00,afieB123,2,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
12,2023-06-26 21:32:31+00:00,Michwaitforitl,3,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
